,tutorial_script-0,shop_upgrade,
,tutorial_script-1,shop_upgrade,
,tutorial_script-2,shop_upgrade,
,tutorial_script-3,shop_upgrade,pause
,tutorial_script-4,shop_upgrade,
,tutorial_script-5,shop_upgrade,
,tutorial_script-6,shop_upgrade,
,tutorial_script-7,shop_upgrade,
,tutorial_script-8,shop_upgrade,pause
,tutorial_script-9,shop_upgrade,
,tutorial_script-10,shop_upgrade,
,tutorial_script-11,shop_upgrade,
,tutorial_script-12,shop_upgrade,
,tutorial_script-13,shop_upgrade,pause
,tutorial_script-14,shop_upgrade,pause
,tutorial_script-15,shop_upgrade,pause
,tutorial_script-16,shop_upgrade,
,tutorial_script-17,shop_upgrade,
,tutorial_script-18,shop_upgrade,
